key,value,translation,description,,
highway,motorway,,"Автомагистрали (обозначенные знаком ""Автомагистраль"" [1]) — автомобильные дороги, имеющие многополосную проезжую часть с центральной разделительной полосой, и не имеющие пересечений в одном уровне с другими автомобильными и железными дорогами, трамвайными путями, велосипедными и пешеходными дорожками.

По умолчанию — односторонняя дорога (т.е. каждое направление рисуется отдельно), если же оба направления нарисованы одной линией, то необходимо добавить oneway=no.

Этим тегом следует обозначать только автомагистрали уровня trunk (часть связной опорной сети государства), для прочих автомагистралей и дорог для автомобилей следует использовать highway=primary/secondary/tertiary/unclassified + motorroad=yes.",,
highway,trunk,,"Важные дороги не являющиеся автомагистралями

 автомобильные дороги входящие в Европейские маршруты

 автомобильные дороги входящие в Международную азиатскую сеть

 автомобильные дороги федерального значения, межрегиональные трассы, формирующие опорную сеть автодорог страны:

 дороги, по которым идёт дальний основной и грузовой межрегиональный трафик

 дороги, последовательно соединяющие несколько крупных городов региона

 дороги к международным аэропортам и крупным портам




Сеть дорог класса trunk должна быть связной в пределах всей страны, следовательно:


 дорога класса trunk не должна прерываться внутри населённых пунктов (если это единственный транзитный маршрут)

 дорога класса trunk может начинаться и заканчиваться только внутри крупных населённых пунктов, соединяясь с дорогами класса не ниже primary",,
highway,primary,,"Автомобильные дороги регионального значения, соединяющие города и/или областные центры, дороги межрегионального значения, не являющиеся trunk.

В населённых пунктах — центральные магистрали городов (в небольших населённых пунктах могут отсутствовать).",,
highway,secondary,,"Автомобильные дороги областного значения, соединяющие областные центры с крупными населёнными пунктами (районными центрами), а также крупные населённые пункты между собой.

В населённых пунктах — основные магистрали районов города (в небольших населённых пунктах могут отсутствовать).",,
highway,tertiary,,"Более важные автомобильные дороги среди прочих автомобильных дорог местного значения, например соединяющие районные центры с сёлами, а также несколько сёл между собой.

В населённых пунктах — основные микрорайонные или межмикрорайонные транзитные улицы.",,
highway,unclassified,,"Остальные автомобильные дороги местного значения, образующие соединительную сеть дорог.

Не следует использовать данный тег в случае, если неизвестно, является ли линия дорогой и требуется дополнительное изучение, для этого используйте тег highway=road.

В населённых пунктах — обычные мелкие улицы/переулки с преимущественно нежилыми строениями вдоль улицы и проезды, по которым осуществляется движение транспортных средств к дорогам, обозначенным тегами highway=residential и highway=living_street.

По результатам обсуждения на форуме стволовой дворовый проезд (если хочется его выделить от нестволового, т.е. дворового проезда более низкого порядка) предложено обозначать как highway=unclassified + living_street=yes",,
highway,residential,,"Дороги, которые проходят внутри жилых зон, а также используются для подъезда к ним. В основном используется теми людьми, которые живут на этой улице или на примыкающей. Обычно имеют название. Не обозначены дорожными знаками 5.21 и 5.22 ""Жилая зона"". Транзитный проезд не приветствуется.

По результатам обсуждения на форуме именованную улицу, отмеченную знаком жилая зона предложено обозначать как highway=residential + living_street=yes",,
highway,service,,"Служебные проезды: внутридворовые, въездные, парковочные и т.д.

По результатам обсуждения на форуме нестволовой дворовый проезд (или все дворовые проезды в случае отсутствия разделения на стволовые и нестволовые) предложено обозначать как highway=service + living_street=yes


Не путать с придорожным сервисом (highway=services)",,
highway,motorway_link,,"Соединительные дороги автомагистралей (motorway) с другими дорогами (возможно более низкого класса).
Этим тегом обозначают небольшую дорогу, представляющую собой съезд с автомагистрали или въезд на автомагистраль. Являются частью дорожно-транспортной развязки (наклонные съезды/въезды, пандусы). Они обычно имеют такие же ограничения, что и автомагистрали (motorway).
Для избежания неоднозначности, рекомендуется всегда добавлять тег oneway=*.",,
highway,trunk_link,,"Соединительные дороги межрегиональных трасс (trunk) с другими дорогами (возможно более низкого класса).
Этим тегом обозначают небольшую дорогу, представляющую собой съезд с автотрассы или въезд на автотрассу. Являются частью дорожно-транспортной развязки (наклонные съезды/въезды, пандусы). Они обычно имеют такие же ограничения, что и межрегиональные трассы (trunk).
Для избежания неоднозначности, рекомендуется всегда добавлять тег oneway=*.",,
highway,primary_link,,"Небольшие соединительные дороги между дорогами класса primary и другими (возможно более низкого класса).

Для избежания неоднозначности, рекомендуется всегда добавлять тег oneway=*.",,
highway,secondary_link,,"Небольшие соединительные дороги между дорогами класса secondary и другими (возможно более низкого класса).

Для избежания неоднозначности, рекомендуется всегда добавлять тег oneway=*.",,
highway,tertiary_link,,"Небольшие соединительные дороги между дорогами класса tertiary и другими (возможно более низкого класса).

Для избежания неоднозначности, рекомендуется всегда добавлять тег oneway=*.",,
highway,living_street,,"Улицы такого же класса как residential, но на них пешеходы имеют преимущество перед автомобилями и обозначенные знаками 5.21 и 5.22 ""Жилая зона"".

По результатам обсуждения на форуме именованную улицу, отмеченную знаком жилая зона предложено обозначать как highway=residential + living_street=yes

Не путать с внутридворовыми проездами (highway=unclassified + living_street=yes (стволовой проезд) либо highway=service + living_street=yes (обычный внутридворовый проезд)).",,
highway,pedestrian,,"Для обозначения улиц и площадей городов (такого же класса как residential), имеющих твердое покрытие, выделенных для пешеходов (часто между магазинами).
Въезд специального транспорта, привозящего товар в магазины, физически возможен, может быть разрешён только в определённые часы и закрыт для въезда специальными съёмными столбиками.
Разрешения для велосипедистов указываются тегами bicycle=yes или bicycle=no.
Отличается от highway=footway большей шириной.
Для создания площадей следует создать замкнутую область и добавить тег area:highway=pedestrian.",,
highway,track,,"Дороги сельскохозяйственного назначения, лесные дороги, не ведущие к жилым или промышленным объектам, неофициальные грунтовки, козьи тропы.

Не следует использовать данный вариант для обозначения грунтовых дорог, образующих соединительную сеть и используемых для передвижения несельскохозяйственной техники — в таких случаях следует использовать highway=unclassified или highway=residential и уточнять тип покрытия/проходимость с помощью меток smoothness=* и/или surface=*.",,
highway,bus_guideway,,"Дороги со специальным покрытием, предназначенные только для движения автобусов. Другие виды транспорта физически не смогут проехать. В России таких нет. Для дорог или полос предназначенных для движения пассажирского транспорта указывают дополнительные теги access=no и psv=yes.",,
highway,raceway,,Гоночная трасса.,,
highway,road,,"Линии, возможно, являющиеся дорогами. Временный тег, которым следует помечать линии до уточнения.",,
highway,footway,,"Пешеходные дорожки, тротуары. Если по ним разрешено передвижение на велосипеде, то необходимо добавить тег bicycle=yes.Не путать с пешеходными улицами highway=pedestrian, тропами highway=footway и  грунтовками для сельскохозяйственной техники highway=track",,
highway,cycleway,,See below.,,
highway,bridleway,,Дорожки для верховой езды.,,
highway,steps,,"Лестницы, лестничные пролёты.",,
highway,path,,"Тропа (возможно, стихийная) использующаяся пешеходами, либо одним или несколькими видами транспорта, кроме четырехколесного (лыжи, снегоход, велосипед). Местами визуально не распознаётся, так как может проходить по любым типам поверхности.",,
sidewalk,both / left / right / no,,"Указывает, имеются ли у дороги тротуары с обоих сторон, с одной стороны, или они отсутствуют",,
highway,cycleway,,"Велодорожка. Если нужно обозначить, что это дорожка и для пешеходов, можно добавить тег foot=yes.",,
cycleway,lane,,"Велосипедная полоса — это маршрут, лежащий в пределах дорожного полотна.",,
cycleway,opposite,,"Используется на дорогах с oneway=yes, если разрешена езда на велосипеде в обоих направлениях (только в странах, где это разрешено официально)",,
cycleway,opposite_lane,,"Используется на дорогах с oneway=yes, имеющих велополосу, идущую в направлении, противоположном потоку обычного транспорта (т.е. полоса ""против движения"")",,
cycleway,track,,"Велодорожка — это маршрут, отдельный от основной дороги. Добавьте oneway=yes, если это необходимо.",,
cycleway,opposite_track,,"Используется на дорогах с oneway=yes, имеющих велодорожку, идущую в противоположном направлении к потоку обычного транспорта.",,
cycleway,share_busway,,"Имеется автобусная полоса, которой разрешено пользоваться велосипедистам.",,
cycleway,shared_lane,,"Велосипедисты используют полосу совместно с автомобильным транспортом, но имеются указатели, сообщающие, что они должны делить эту полосу с автомобилистами.",,
busway,lane,,Bus lane on both sides of the road.,,
highway,proposed,,Планируемая/проектируемая дорога. Использовать совсместно с тегом proposed=*.,,
highway,construction,,"Строящаяся или ремонтируемая дорога. Использовать совместно с тегами construction=*, opening_date=* и check_date=* (opening_date - ожидаемая дата открытия (следует указать хотя бы ориентировочные сроки), check_date - дата, когда состояние дороги и ожидаемое время открытия проверялись на местности (дата, когда информация, указанная в opening_date, и факт перекрытия дороги являлись актуальными)).",,
abutters,commercial/ industrial/ mixed/ residential/ retail и т.п.,,Для описания преимущественного назначения земли вдоль дороги. Подробнее см. Key:abutters.,,
driving_side,left/ right,,Defines which side of the road vehicles must legally use.  (must only be used on highways when they are an exception to the rule),,
ford,yes,,"Пересечение дороги с ручьем или речкой, брод.",,
ice_road,yes,,"Дорога, проложенная по льду озера, реки и т.д. Ледовая переправа. В теплое время года не существует в принципе.",,
incline,Number %/°,,Спуск или подъём.,,
junction,roundabout,,Круговое движение. При установке данного тега автоматически устанавливается одностороннее движение.,,
lanes,number,,Количество полос движения на проезжей части дороги,,
lit,yes/no,,Освещается ли дорога дороги,,
motorroad,yes / no,,The motorroad tag is used to describe highways that have motorway-like access restrictions but that are not a motorway.,,
mountain_pass,yes,,Наивысшая точка горного перевала,,
mtb:scale,0-6,,Applies to highway=path and highway=track. A classification scheme for mtb trails (few inclination and downhill).,,
mtb:scale:uphill,0-5,,A classification scheme for mtb trails for going uphill if there is significant inclination.,,
mtb:scale:imba,0-4,,The IMBA Trail Difficulty Rating System shall be used for bikeparks. It is adapted to mtb trails with artificial obstacles.,,
mtb:description,Text,,Applies to highway=path and highway=track. A key to input variable infos related to mtbiking on a way with human words,,
overtaking,yes/ no/ both/ forward/ backward,,"Указывает отрезки дорог, где обгон запрещён.",,
parking:condition:side,free/ ticket/ disc/ residents/ customers/ private,,Specifying the parking conditions (terms). See parking:condition=* for more details.,,
parking:lane:side,parallel/ diagonal/ perpendicular/ marked/ no_parking/ no_stopping/ fire_lane.,,Specifying the parking space. See parking:lane=* for more details.,,
passing_places,yes,,"Дорога, на которой часто встречаются расширениия для встречного разъезда.",,
sac_scale,hiking / mountain_hiking / demanding_mountain_hiking / alpine_hiking / demanding_alpine_hiking / difficult_alpine_hiking,,Применяется к highway=path и highway=footway. Классификационная схема для троп пешеходного туризма (hiking).,,
service,alley/ driveway/ parking_aisle etc.,,Проезд внутри какой-либо территории между отдельными объектами на ней. (Не аллея!),,
surface,paved / unpaved / asphalt / concrete / paving_stones / cobblestone / metal / wood / grass_paver / gravel / pebblestone / grass / ground / earth / dirt / mud / sand,,Смотри RU:Key:surface для подробностей.,,
tactile_paving,yes / no,,"Специальное мощение, позволяющее слепым нащупывать дорогу палкой.",,
tracktype,grade1/ grade2/ grade3/ grade4/ grade5,,Для описания качества покрытия. Подробнее см. Key:tracktype и Key:surface.,,
traffic_calming,yes/ bump/ hump/ cushion/ table etc.,,Технические средства ограничения скорости движения.,,
trail_visibility,excellent / good / intermediate / bad / horrible / no,,"Применяется к highway=path, highway=footway, highway=cycleway и highway=bridleway. Классификация видимости для троп пешеходного туризма.",,
winter_road,yes,,"Зимник. Дорога, проезд по которой возможен только с наступлением холодов. В теплое время года проезд может быть возможен (на вездеходе), а может быть и не возможен (непроходимое болото).",,
highway,bus_stop,,Остановка. Автобусная. Обычная. Автовокзалы обозначать тегом amenity=bus_station.,,
public_transport,platform,,Площадка для посадки пассажиров на автобусной остановке или платформа на автобусной станции.,,
highway,crossing,,Пешеходный переход.,,
highway,emergency_access_point,,"Знак с числом, помогающий определить ваше местоположение для вызова скорой помощи на дороге. Заносится вместе с тегом ref=NUMBER_ON_THE_SIGN.",,
highway,escape,,"Emergency lane beside long descending slopes for trucks and other vehicles to stop safely after brake failure.  In the USA this is called a ""runaway truck"" lane or ramp.",,
highway,give_way,,"Знак ""Уступи дорогу"" - означает, что участник дорожного движения не должен начинать, возобновлять или продолжать движение, осуществлять какой-либо маневр, если это может вынудить других участников движения, имеющих по отношению к нему преимущество, изменить направление движения или скорость.",,
emergency,phone,,Телефон вызова экстренных служб. Использовать с ref=Номер. Так же смотри highway=emergency_access_point,,
highway,mini_roundabout,,"Круговое движение, маленький круг. Для более крупных перекрёстков следует использовать тег junction=roundabout.",,
highway,motorway_junction,,Обозначение номера (или название) съезда с трассы. Ставится в точке ответвления motorway_link от motorway.,,
highway,passing_place,,Расширение узкой дороги дающее возможность для встречного разъезда машин.,,
highway,rest_area,,Площадка (стоянка) для отдыха водителей. Не включает в себя заправку и прочее техобслуживание автомобиля.,,
highway,speed_camera,,"Стационарная камера замера скорости автомобиля, стоящая на краю дороги или висящая над дорогой.",,
highway,street_lamp,,"Уличный фонарь, закрепленный на столбе сбоку от дороги. Включается каждый вечер в определенное время.",,
highway,services,,"Небольшие станции технического обслуживания автомобилей (СТО), придорожные кафешки.

Не путать со служебными проездами (highway=service).",,
highway,stop,,"Знак, запрещающий движение без остановки.",,
highway,traffic_signals,,Светофорное регулирование движения.,,
highway,turning_circle,,"Место (расширение дороги) для разворота, обычно (но не обязательно) в конце тупика.",,
highway,Другие значения,,Все использованные значения тега согласно статитстике Taginfo,,
barrier,city_wall,,"Городские, замковые стены. В средние века строились вокруг поселения для отражения вражеских атак.

 Правая сторона — нижняя (как правило, внешняя). Если высота равна с обоих сторон — следует добавить тег two_sided=yes",,
barrier,ditch,,"Ров, траншея, канава, овраг, нередко заполненная водой, труднопреодолимая, особенно на транспорте. Нередко используется совместно с тегами waterway=stream или waterway=drain.",,
barrier,fence,,"Забор (плетень, тын, изгородь). Отдельно стоящая конструкция для предотвращения пересечения некоторой границы. Более лёгкая, нежели стена. Следует также указывать тип забора тегом fence_type=*",,
barrier,guard_rail,,"Металлическое барьерное ограждение, иногда использующееся в качестве разделителя полос. Выпуклая сторона справа относительно направления линии.",,
barrier,cable_barrier,,Тросовое ограждение (тросовый барьер). Это боковое или разделительное дорожное ограждение в виде стальных тросов на слабо закреплённых стойках. См. также более подробное описание в Википедии.,,
barrier,hedge,,Зелёная изгородь. Линейное насаждение плотной растительности для обозначения границы,,
barrier,kerb,,"Бортовой камень (например, между тротуаром и проезжей частью). Варианты укладки - бордюр и поребрик. Может выступать препятствием для транспортных средств и инвалидов. Важно указывать высоту бортового камня, так как это позволит судить, насколько он может создать затруднения различным участникам движения. Описать высоту бортового камня можно при помощи тега height=*. Более низкая поверхность (обычно, проезжая часть) справа относительно направления линии.",,
barrier,retaining_wall,,"Стена, удерживающая склон от сползания или осыпания.

 С правой стороны — обрыв, с левой — гора",,
barrier,wall,,"Стена. Капитальное строение линейного типа, предназначенное для ограничения пересечения определённой границы. Изготавливается обычно из бетона, кирпича, камня. Также обычно полностью непрозрачна.",,
barrier,block,,"Большой твердый неподвижный блок, который может быть сдвинут только с помощью тяжелой техники или больших усилий. Обычно это нечто большое и плотное, сделанное и размещенное специально для того чтобы преградить путь автомобилям. Иногда это могут быть глыбы и валуны естественного происхождения.",,
barrier,bollard,,"Оградительный столб, тумба. Используется для ограничения проезда",,
barrier,border_control,,Это контрольная точка в международной границы между двумя странами. Паспорта или другие формы удостоверения личности будут проверяться.,,
barrier,bump_gate,,See wikipedia:Bump gate,,
barrier,bus_trap,,See wikipedia:Bus trap,,
barrier,cattle_grid,,"Металлическая решётка, лежащая на дороге, обеспечивающая проезд транспорта, но делающая проход животных (преимущественно скота) невозможным. Иногда называется «техасскими воротами».",,
barrier,chain,,"Цепь или трос поперек дороги. Пройти можно всем, проехать - только тому, у кого есть ключ.",,
barrier,cycle_barrier,,"Ограждение, предотвращающее проезд велосипедов. Обычно представляет собой металлические перекладины поперёк дороги с проходами для пешеходов",,
